"OUTCOME High/Low LC, LP, BP",Experimental Metabolic Strategy,Growth Phase,Cultivation Scale,Temperature,Light Intensity,Agitation,Photoperiods,Growth Period,CO2 Supply,Air Supply,N,P,inorganic C,organic C,Salinity,K,Ca,Fe,Co,Cu,EDTANa,Na2EDTA,EDTAFeNa,pH,Cultivation Mode,Na2MGEDTA,EDTA,Seed Metabolic Strategy,Inorganic C Source,Organic C Source,N Source,pH Control Strategy,pH Regulators,Stage Phase Strategy,Lamp Color,Culture Medium,Lamp Type,Inoculum Concentration,Chlorella Strain
HB,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0.027526,0.00178,0.002266,0.013127,0,0.004489,0.039373,0.00798,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,calcium nitrate,initial,none,single-stage,white,CHU-10,fluorescent,0.2,Chlorella sp
HB,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0,0.00178,0.002266,0.013127,0,0.004489,0,0.00798,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,none,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
HB,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0.027526,0,0.002266,0.013127,0,0,0.039373,0.00798,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,calcium nitrate,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
HB,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0.027526,0.00178,0.002266,0.013127,0,0.004489,0.039373,0,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,calcium nitrate,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
HB,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0,0,0.002266,0.013127,0,0,0,0,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,none,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,1,25,60,150,24,20,0,no,0.173674,0.284755,0.1428,0,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.02,Chlorella vulgaris
HB,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.173674,0.284755,0,0,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,white,BM,fluorescent,0.02,Chlorella vulgaris
LB,heterotrophic,stationary,1,25,0,150,0,8,0,no,0.173674,0.284755,0,4,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,no-color,mBM,no-lamp,0.02,Chlorella vulgaris
HB,mixotrophic,stationary,1,25,60,150,24,8,0,no,0.173674,0.284755,0,4,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.02,Chlorella vulgaris
HB,mixotrophic,stationary,1,25,60,150,24,16,2,yes,0.173674,0.284755,0,4,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,glucose,sodium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.02,Chlorella vulgaris
LB,photoautotrophic,stationary,1,25,60,150,24,17,0,no,0.123618,0.053215,0.1428,0,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
HB,photoautotrophic,stationary,1,25,60,150,24,17,2,yes,0.123618,0.053215,0,0,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
LB,heterotrophic,stationary,1,25,0,150,0,8,0,no,0.123618,0.053215,0,4,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,no-color,mBristol-CZ-M1,no-lamp,0.02,Chlorella vulgaris
HB,mixotrophic,stationary,1,25,60,150,24,8,0,no,0.123618,0.053215,0,4,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
HB,mixotrophic,stationary,1,25,60,150,24,12,2,yes,0.123618,0.053215,0,4,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,glucose,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
LB,photoautotrophic,stationary,1,25,60,150,24,10,0,no,0.01401,0.001549,0.1446,0,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,white,MBL,fluorescent,0.02,Chlorella vulgaris
LB,photoautotrophic,stationary,1,25,60,150,24,10,2,yes,0.01401,0.001549,0.001801,0,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,white,mMBL,fluorescent,0.02,Chlorella vulgaris
LB,heterotrophic,stationary,1,25,0,150,0,16,0,no,0.01401,0.001549,0.001801,4,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,no-color,mMBL,no-lamp,0.02,Chlorella vulgaris
LB,mixotrophic,stationary,1,25,60,150,24,16,0,no,0.01401,0.001549,0.001801,4,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,white,mMBL,fluorescent,0.02,Chlorella vulgaris
HB,mixotrophic,stationary,1,25,60,150,24,8,2,yes,0.01401,0.001549,0.001801,4,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,glucose,sodium nitrate,initial,none,single-stage,white,mMBL,fluorescent,0.02,Chlorella vulgaris
HB,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.173674,0.284755,0,0,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,BM,fluorescent,0.01,Chlorella vulgaris
HB,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.087073,0.284755,0,0,0,0.600735,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.01,Chlorella vulgaris
HB,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.043842,0.284755,0,0,0,0.480082,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.01,Chlorella vulgaris
LB,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.022087,0.284755,0,0,0,0.419369,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.01,Chlorella vulgaris
LB,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,none,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,F/2,LED,0.47,Chlorella vulgaris
LB,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.003574,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LB,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.007148,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LB,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.142963,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LB,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.214444,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LB,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.285925,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LB,photoautotrophic,stationary,1,25,400,0,12,12,0.04,yes,0.248045,0.005429,0.002266,0.003906,0,0.01369,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,BG11,fluorescent,0.05,Chlorella sorokiniana
HB,mixotrophic,stationary,1,25,400,0,12,12,0.04,yes,0.248045,0.005429,0.002266,2.00384,0,0.01369,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",glucose,sodium nitrate,initial,none,single-stage,white,mBG11,fluorescent,0.05,Chlorella sorokiniana
HB,mixotrophic,stationary,1,25,400,0,12,12,0.04,yes,0.248045,0.005429,0.002266,4.003773,0,0.01369,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",glucose,sodium nitrate,initial,none,single-stage,white,mBG11,fluorescent,0.05,Chlorella sorokiniana
HB,mixotrophic,stationary,1,25,400,0,12,12,0.04,yes,0.248045,0.005429,0.002266,6.003706,0,0.01369,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",glucose,sodium nitrate,initial,none,single-stage,white,mBG11,fluorescent,0.05,Chlorella sorokiniana
HB,mixotrophic,stationary,1,25,400,0,12,12,0.04,yes,0.248045,0.005429,0.002266,8.00364,0,0.01369,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",glucose,sodium nitrate,initial,none,single-stage,white,mBG11,fluorescent,0.05,Chlorella sorokiniana
LB,mixotrophic,stationary,1,25,400,0,12,12,0.04,yes,0.248045,0.005429,0.002266,10.003573,0,0.01369,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",glucose,sodium nitrate,initial,none,single-stage,white,mBG11,fluorescent,0.05,Chlorella sorokiniana
LB,photoautotrophic,log,0.15,25,55,160,16,4,0,no,0.24885,0.00712,0.002266,0.003312,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,none,sodium nitrate,initial,none,single-stage,,BG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,log,0.15,25,55,160,16,4,0,no,0.24885,0.00712,0.002266,2.003245,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,log,0.15,25,55,160,16,4,0,no,0.24885,0.00712,0.002266,4.003178,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,log,0.15,25,55,160,16,4,0,no,0.24885,0.00712,0.002266,6.003112,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,log,0.15,25,55,160,16,4,0,no,0.24885,0.00712,0.002266,8.003045,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,log,0.15,25,55,160,16,4,0,no,0.24885,0.00712,0.002266,10.002979,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,heterotrophic,log,0.15,25,0,160,0,4,0,no,0.24885,0.00712,0.002266,2.003245,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
HB,heterotrophic,log,0.15,25,0,160,0,4,0,no,0.24885,0.00712,0.002266,4.003178,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
HB,heterotrophic,log,0.15,25,0,160,0,4,0,no,0.24885,0.00712,0.002266,6.003112,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
LB,heterotrophic,log,0.15,25,0,160,0,4,0,no,0.24885,0.00712,0.002266,8.003045,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
LB,heterotrophic,log,0.15,25,0,160,0,4,0,no,0.24885,0.00712,0.002266,10.002979,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
LB,photoautotrophic,stationary,0.15,25,55,160,16,10,0,no,0.24885,0.00712,0.002266,0.003312,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,none,sodium nitrate,initial,none,single-stage,,BG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,stationary,0.15,25,55,160,16,10,0,no,0.24885,0.00712,0.002266,2.003245,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,stationary,0.15,25,55,160,16,10,0,no,0.24885,0.00712,0.002266,4.003178,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,stationary,0.15,25,55,160,16,10,0,no,0.24885,0.00712,0.002266,6.003112,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,stationary,0.15,25,55,160,16,10,0,no,0.24885,0.00712,0.002266,8.003045,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,mixotrophic,stationary,0.15,25,55,160,16,10,0,no,0.24885,0.00712,0.002266,10.002979,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.1,Chlorella vulgaris
HB,heterotrophic,stationary,0.15,25,0,160,0,10,0,no,0.24885,0.00712,0.002266,2.003245,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
HB,heterotrophic,stationary,0.15,25,0,160,0,10,0,no,0.24885,0.00712,0.002266,4.003178,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
HB,heterotrophic,stationary,0.15,25,0,160,0,10,0,no,0.24885,0.00712,0.002266,6.003112,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
HB,heterotrophic,stationary,0.15,25,0,160,0,10,0,no,0.24885,0.00712,0.002266,8.003045,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
HB,heterotrophic,stationary,0.15,25,0,160,0,10,0,no,0.24885,0.00712,0.002266,10.002979,0,0.017955,0.009815,0.001283,0.00001,0.00002,0,0.001,0,7,batch,0,yes,photoautotrophic,sodium carbonate,glucose,sodium nitrate,initial,none,single-stage,no-color,mBG11,no-lamp,0.1,Chlorella vulgaris
LB,mixotrophic,stationary,1,25,106.55,0,12,83,0.04,yes,0.040412,0.005012,0.01787,0.058561,0,0.006319,0.0009,0.001377,0,0.000025,0,0,0,,batch,0,no,photoautotrophic,sodium bicarbonate,"sodium acetate, carbon dioxide",ammonium chloride,initial,none,single-stage,,SWW,LED,0.18,Chlorella pyrenoidosa
LB,mixotrophic,stationary,1,25,106.55,0,12,83,0.04,yes,0.040412,0.005012,0.01787,0.058561,5,0.006319,0.0009,0.001377,0,0.000025,0,0,0,,batch,0,no,photoautotrophic,sodium bicarbonate,"sodium acetate, carbon dioxide",ammonium chloride,initial,none,single-stage,,mSWW,LED,0.18,Chlorella pyrenoidosa
LB,mixotrophic,stationary,1,25,106.55,0,12,83,0.04,yes,0.040412,0.005012,0.01787,0.058561,10,0.006319,0.0009,0.001377,0,0.000025,0,0,0,,batch,0,no,photoautotrophic,sodium bicarbonate,"sodium acetate, carbon dioxide",ammonium chloride,initial,none,single-stage,,mSWW,LED,0.18,Chlorella pyrenoidosa
LB,mixotrophic,stationary,1,25,106.55,0,12,83,0.04,yes,0.040412,0.005012,0.01787,0.058561,20,0.006319,0.0009,0.001377,0,0.000025,0,0,0,,batch,0,no,photoautotrophic,sodium bicarbonate,"sodium acetate, carbon dioxide",ammonium chloride,initial,none,single-stage,,mSWW,LED,0.18,Chlorella pyrenoidosa
LB,mixotrophic,stationary,1,25,106.55,0,12,83,0.04,yes,0.040412,0.005012,0.01787,0.058561,30,0.006319,0.0009,0.001377,0,0.000025,0,0,0,,batch,0,no,photoautotrophic,sodium bicarbonate,"sodium acetate, carbon dioxide",ammonium chloride,initial,none,single-stage,,mSWW,LED,0.18,Chlorella pyrenoidosa
HB,heterotrophic,stationary,0.75,25,0,100,0,3,0,no,0.692811,0.284755,0,0.08,0,2.292585,0,0.007432,0.000002,0.000003,0,0,0,7,repeated fed-batch,0,yes,photoheterotrophic,none,acetic acid,potassium nitrate,constant,acetic acid,single-stage,no-color,mTamiya,no-lamp,1,Chlorella vulgaris
HB,heterotrophic,stationary,10,25,0,100,0,3,0,no,0.692811,0.284755,0,0.08,0,2.292585,0,0.007432,0.000002,0.000003,0,0,0,7,repeated fed-batch,0,yes,photoheterotrophic,none,acetic acid,potassium nitrate,constant,acetic acid,single-stage,no-color,mTamiya,no-lamp,2.5,Chlorella vulgaris
LB,heterotrophic,log,0.75,25,0,100,0,3,0,no,0.692811,0.284755,0,0.08,0,2.292585,0,0.007432,0.000002,0.000003,0,0,0,7,repeated fed-batch,0,yes,photoheterotrophic,none,glucose,potassium nitrate,constant,hydrogen chloride,single-stage,no-color,mTamiya,no-lamp,4,Chlorella vulgaris
HB,heterotrophic,log,0.75,25,0,100,0,3,0,no,0.692811,0.284755,0,0.08,0,2.292585,0,0.007432,0.000002,0.000003,0,0,0,7,repeated fed-batch,0,yes,photoheterotrophic,none,glucose,potassium nitrate,constant,hydrogen chloride,single-stage,no-color,mTamiya,no-lamp,1,Chlorella vulgaris
LB,photoautotrophic,stationary,0.5,28,45,150,24,21,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,21,0,no,0.027717,0.045561,0,0,11.708,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,mFOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,21,0,no,0.027717,0.045561,0,0,29.27,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,mFOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,21,0,no,0.027717,0.045561,0,0,46.832,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,mFOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,21,0,no,0.027717,0.045561,0,0,64.394,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,mFOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,red,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,yellow,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,45,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,green,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,31.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,40.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,5,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,6,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,8,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,24,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
LB,photoautotrophic,stationary,0.5,28,49.5,150,16,15,0,no,0.027717,0.045561,0,0,0,0.134788,0.054526,0.000011,0.00001,0.00002,0,0.0745,0,7,batch,0,yes,photoautotrophic,none,none,potassium nitrate,initial,"sodium chloride, hydrogen chloride",single-stage,white,FOGG,fluorescent,0.2,Chlorella sp
